accident_month,dev_0,dev_1,dev_2,dev_3,dev_4,dev_5,dev_6,dev_7,dev_8,dev_9,dev_10,dev_11,,,,,,,,,,,,,
2017-11-30 16:00:00+00:00,,3943.72,7844.15,9875.89,13394,14855.94,15851.61,19105.92,,250217,28273.08,34565.68,,,15552927.44,15213354.18,4127967.428,12377097.97,2137268.564,991358.7489,10590533.58,,62608547089,49259103625,39596814.76
2017-12-31 16:00:00+00:00,18600.38,31270.02,60889.71,82414.9,93554.56,109371.31,134540.21,156407.95,178717.57,216147.88,242231.82,264904.57,,,160519777.7,877326035.7,463333804.5,124092024.9,250169580.6,633473527.2,478198052.7,497719144.5,1401028107,680371925.9,514053592.6
2018-01-31 16:00:00+00:00,7438.89,12454.85,31913.26,50840.21,58459.89,82873.72,115859.58,139318.06,154515.89,181864.73,208746.78,240294.72,,,25159854.72,378629719.7,358229436.3,58059523.3,596035095.3,1088066960,550300283.9,230974036.7,747959049.3,722644612.2,995272518.2
2018-02-28 16:00:00+00:00,20862.81,33960.19,55287.61,66621.4,88854.69,120236.16,138366.83,171064.22,191208.44,210659.88,236567.66,267431.52,,,171541362.9,454858843.9,128454795.8,494319184.2,984796659.4,328721194.6,1069119313,405789599.4,378358518.1,671213064.5,952577854.1
2018-03-31 16:00:00+00:00,12484.67,36693.37,59698.09,79631.65,95770.96,115712.91,130567.33,154996.24,172814.19,208305.41,242252.45,300049.85,,,586061155.7,529217142.3,397346814.3,260477327.3,397681369.8,220653793.5,596771643.8,317479342.2,1259626697,1152401525,3340539447
2018-04-30 16:00:00+00:00,11659.27,21668.52,43758.2,70766.55,91205.46,130260.6,158171.54,209645.43,223007.31,250217,269095.84,294405.82,,,100185085.6,487953962.5,729450969.7,417749042,1525303960,779020571.7,2649561352,178539837.1,740367229.9,356410599.7,640595087.6
2018-05-31 16:00:00+00:00,16187.32,33524.13,51448.28,72777.07,93105.95,125135.4,149650.09,181154.48,209271.74,233317.94,266842.86,304906.32,,,300564981,321275153.2,454917282.9,413263362.1,1025885667,600970025.8,992526589.3,790580309.9,578219734.4,1123920261,1448826987
2018-06-30 16:00:00+00:00,19847.67,33146.82,47314.39,80216.83,107264.85,127957.16,159234.86,179717.11,204426.19,243874.39,286045.95,323252.98,,,176867390.7,200720039.7,1082570558,731595385.9,428171693.1,978294517.3,419522565.1,610538634.4,1556160483,1778440473,1384363081
2018-07-31 16:00:00+00:00,12623.17,27253.2,42724.52,59143.18,74590.95,104018.94,132215.91,169534.42,195774.74,221361.04,262810.44,305241.71,,,214037777.8,239361742.5,269572396.2,238633598,866006595.4,795069117.2,1392671189,688554393.7,654658747.7,1718052760,1800412674
2018-08-31 16:00:00+00:00,13742.43,31888.49,35962.92,52292.93,67657.39,88176.8,109204.38,131476.03,152032.72,174648.22,200955.9,244724.61,,,329279493.5,16600979.82,266669226.6,236066631.1,421046186.7,442159120.7,496026393.7,422577503.8,511460840.3,692094027,1915699975
2018-09-30 16:00:00+00:00,20630.38,39955.64,59398.1,81592.13,103013.75,120059.76,144665.32,182516,220379.23,250584.2,299552.01,341308.4,,,373465674.1,378009250.9,492574967.6,458885803.4,290566456.9,605433582.9,1432673976,1433624186,912340212.7,2397846416,1743596106
